iter	Passed	Remaining
0	0	82
1	7	385
2	8	282
3	9	225
4	10	191
5	10	167
6	12	168
7	13	158
8	14	151
9	15	141
10	16	133
11	17	125
12	17	117
13	18	113
14	19	107
15	19	102
16	20	100
17	21	96
18	22	93
19	22	90
20	23	88
21	24	85
22	26	90
23	29	93
24	30	91
25	31	88
26	31	85
27	32	82
28	32	80
29	33	77
30	34	76
31	35	74
32	35	72
33	36	70
34	37	68
35	37	66
36	38	64
37	38	62
38	39	61
39	39	59
40	40	58
41	40	56
42	41	54
43	41	53
44	42	51
45	44	52
46	45	51
47	45	49
48	46	48
49	48	48
50	49	47
51	51	47
52	54	48
53	55	46
54	55	45
55	57	45
56	57	43
57	58	42
58	59	41
59	59	39
60	63	40
61	64	39
62	64	38
63	65	36
64	66	35
65	67	34
66	67	33
67	72	34
68	73	32
69	73	31
70	78	31
71	79	30
72	79	29
73	80	28
74	81	27
75	81	25
76	82	24
77	82	23
78	85	22
79	85	21
80	86	20
81	87	19
82	91	18
83	93	17
84	95	16
85	98	15
86	98	14
87	100	13
88	101	12
89	102	11
90	104	10
91	105	9
92	107	8
93	108	6
94	108	5
95	109	4
96	110	3
97	111	2
98	111	1
99	112	0
